#No.	Label Name:	R	G	B	A
0	Unknown	0	0	0	0
1	-10	0	0	213	0
2	-9	0	0	255	0
3	-8	0	43	255	0
4	-7	0	85	255	0
5	-6	0	128	255	0
6	-5	0	170	255	0
7	-4	0	213	255	0
8	-3	0	255	255	0
9	-2	43	255	213	0
10	-1	85	255	170	0
11	0	128	255	128	0
12	1	170	255	85	0
13	2	213	255	43	0
14	3	255	255	0	0
15	4	255	213	0	0
16	5	255	170	0	0
17	6	255	128	0	0
18	7	255	85	0	0
19	8	255	43	0	0
20	9	255	0	0	0
21	10	213	0	0	0
